2019-04-25 18:31:29 [main] INFO  DataSourceTest:142 - All connection are closed 
2019-04-25 18:31:30 [main] INFO  DataSourceTest:228 - Connection 1 done
2019-04-25 18:31:31 [main] INFO  DataSourceTest:228 - Connection 2 done
2019-04-25 18:31:32 [main] INFO  DataSourceTest:228 - Connection 3 done
2019-04-25 18:31:32 [main] INFO  DataSourceTest:231 - Limit reached, no available connection java.sql.SQLException
2019-04-25 18:31:32 [main] INFO  DataSourceTest:198 - Connection 1 done
2019-04-25 18:31:33 [main] INFO  DataSourceTest:201 - Connection 2 done
2019-04-25 18:31:34 [main] INFO  DataSourceTest:204 - Connection 3 done
2019-04-25 18:31:34 [main] INFO  DataSourceTest:209 - Limit reached, no available connection java.sql.SQLException
2019-04-25 18:31:34 [main] INFO  DataSourceTest:125 - Return Connection succed 
2019-04-25 18:31:35 [main] INFO  DataSourceTest:158 - Number of Connection is 1
2019-04-25 18:31:36 [main] INFO  DataSourceTest:164 - Number of Connection increased to 0
2019-04-25 18:31:37 [main] INFO  DataSourceTest:90 - Update in SGBD succed 
2019-04-25 18:31:38 [main] INFO  DataSourceTest:72 - Data recovery in SGBD succed 
2019-04-25 18:31:39 [main] INFO  DataSourceTest:35 - Connection succed 
2019-04-25 18:31:40 [main] INFO  DataSourceTest:53 - Insertion in SGBD succed 
2019-04-25 18:31:40 [main] INFO  DataSourceTest:108 - Delete in SGBD succed 
2019-04-25 18:31:42 [main] INFO  DataSourceTest:181 - Connection 1 and connection 2 are different
2019-04-25 18:49:38 [main] INFO  MainServerGUI:64 - ______           _   _     _    _         
2019-04-25 18:49:38 [main] INFO  MainServerGUI:65 - |  _  \         | | | |   | |  (_)        
2019-04-25 18:49:38 [main] INFO  MainServerGUI:66 - | | | |___  __ _| |_| |__ | | ___ ___ ___ 
2019-04-25 18:49:38 [main] INFO  MainServerGUI:67 - | | | / _ \/ _` | __| '_ \| |/ / / __/ __|
2019-04-25 18:49:38 [main] INFO  MainServerGUI:68 - | |/ /  __/ (_| | |_| | | |   <| \__ \__ \
2019-04-25 18:49:38 [main] INFO  MainServerGUI:69 - |___/ \___|\__,_|\__|_| |_|_|\_\_|___/___/
2019-04-25 18:49:38 [main] INFO  MainServerGUI:70 -                                           
2019-04-25 18:49:39 [AWT-EventQueue-0] INFO  MainServerGUI:84 - Server Initialized
2019-04-25 18:49:40 [Thread-5] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:49:40 [Thread-5] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:49:40 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:49:40 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:49:41 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:49:41 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:49:43 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:49:43 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:49:44 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:49:44 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:49:45 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:49:45 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:49:46 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:49:46 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:49:47 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:49:47 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:49:48 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:49:48 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:49:49 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:49:49 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:49:50 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:49:50 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:18 [main] INFO  MainServerGUI:64 - ______           _   _     _    _         
2019-04-25 18:50:18 [main] INFO  MainServerGUI:65 - |  _  \         | | | |   | |  (_)        
2019-04-25 18:50:18 [main] INFO  MainServerGUI:66 - | | | |___  __ _| |_| |__ | | ___ ___ ___ 
2019-04-25 18:50:18 [main] INFO  MainServerGUI:67 - | | | / _ \/ _` | __| '_ \| |/ / / __/ __|
2019-04-25 18:50:18 [main] INFO  MainServerGUI:68 - | |/ /  __/ (_| | |_| | | |   <| \__ \__ \
2019-04-25 18:50:18 [main] INFO  MainServerGUI:69 - |___/ \___|\__,_|\__|_| |_|_|\_\_|___/___/
2019-04-25 18:50:18 [main] INFO  MainServerGUI:70 -                                           
2019-04-25 18:50:19 [AWT-EventQueue-0] INFO  MainServerGUI:84 - Server Initialized
2019-04-25 18:50:20 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:20 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:20 [Thread-5] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:20 [Thread-5] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:21 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:21 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:23 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:23 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:24 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:24 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:24 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:24 [Thread-6] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:24 [Thread-6] INFO  RequestHandler:565 - Request Type accepted by server
2019-04-25 18:50:24 [Thread-6] INFO  RequestHandler:571 - Request received on server
2019-04-25 18:50:24 [Thread-6] INFO  EmployeeDAO:218 - Employees succesfully find in BDD
2019-04-25 18:50:24 [Thread-6] INFO  RequestHandler:576 - Response send to client
2019-04-25 18:50:24 [Thread-6] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:24 [Thread-6] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:24 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:24 [Thread-7] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:24 [Thread-7] INFO  RequestHandler:565 - Request Type accepted by server
2019-04-25 18:50:24 [Thread-7] INFO  RequestHandler:571 - Request received on server
2019-04-25 18:50:24 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:24 [Thread-8] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:24 [Thread-8] INFO  RequestHandler:565 - Request Type accepted by server
2019-04-25 18:50:24 [Thread-8] INFO  RequestHandler:607 - Request received on server
2019-04-25 18:50:24 [Thread-7] INFO  EmployeeDAO:218 - Employees succesfully find in BDD
2019-04-25 18:50:24 [Thread-7] INFO  RequestHandler:576 - Response send to client
2019-04-25 18:50:24 [Thread-7] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:24 [Thread-7] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:24 [Thread-8] INFO  CommonAreaDAO:161 - CommonAreas succesfully find in BDD
2019-04-25 18:50:24 [Thread-8] INFO  RequestHandler:612 - Response send to client
2019-04-25 18:50:24 [Thread-8] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:24 [Thread-8] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:24 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:24 [Thread-9] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:24 [Thread-9] INFO  RequestHandler:565 - Request Type accepted by server
2019-04-25 18:50:24 [Thread-9] INFO  RequestHandler:607 - Request received on server
2019-04-25 18:50:24 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:24 [Thread-10] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:24 [Thread-10] INFO  RequestHandler:565 - Request Type accepted by server
2019-04-25 18:50:24 [Thread-10] INFO  RequestHandler:595 - Request received on server
2019-04-25 18:50:24 [Thread-9] INFO  CommonAreaDAO:161 - CommonAreas succesfully find in BDD
2019-04-25 18:50:24 [Thread-9] INFO  RequestHandler:612 - Response send to client
2019-04-25 18:50:24 [Thread-9] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:24 [Thread-9] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:24 [Thread-10] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:24 [Thread-10] INFO  RequestHandler:600 - Response send to client
2019-04-25 18:50:24 [Thread-10] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:24 [Thread-10] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:24 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:24 [Thread-11] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:24 [Thread-11] INFO  RequestHandler:565 - Request Type accepted by server
2019-04-25 18:50:24 [Thread-11] INFO  RequestHandler:607 - Request received on server
2019-04-25 18:50:24 [Thread-11] INFO  CommonAreaDAO:161 - CommonAreas succesfully find in BDD
2019-04-25 18:50:24 [Thread-11] INFO  RequestHandler:612 - Response send to client
2019-04-25 18:50:24 [Thread-11] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:24 [Thread-11] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:25 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:25 [Thread-12] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:25 [Thread-12] INFO  RequestHandler:565 - Request Type accepted by server
2019-04-25 18:50:25 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:25 [Thread-12] INFO  RequestHandler:595 - Request received on server
2019-04-25 18:50:25 [Thread-13] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:25 [Thread-13] INFO  RequestHandler:565 - Request Type accepted by server
2019-04-25 18:50:25 [Thread-13] INFO  RequestHandler:583 - Request received on server
2019-04-25 18:50:25 [Thread-12] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:25 [Thread-12] INFO  RequestHandler:600 - Response send to client
2019-04-25 18:50:25 [Thread-12] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:25 [Thread-12] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:25 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:25 [Thread-14] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:25 [Thread-14] INFO  RequestHandler:565 - Request Type accepted by server
2019-04-25 18:50:25 [Thread-14] INFO  RequestHandler:607 - Request received on server
2019-04-25 18:50:25 [Thread-14] INFO  CommonAreaDAO:161 - CommonAreas succesfully find in BDD
2019-04-25 18:50:25 [Thread-14] INFO  RequestHandler:612 - Response send to client
2019-04-25 18:50:25 [Thread-14] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:25 [Thread-14] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:25 [Thread-13] INFO  ResidentDAO:159 - Residents succesfully find in BDD
2019-04-25 18:50:25 [Thread-13] INFO  RequestHandler:588 - Response send to client
2019-04-25 18:50:25 [Thread-13] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:25 [Thread-13] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:25 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:25 [Thread-15] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:25 [Thread-15] INFO  RequestHandler:565 - Request Type accepted by server
2019-04-25 18:50:25 [Thread-15] INFO  RequestHandler:583 - Request received on server
2019-04-25 18:50:25 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:25 [Thread-16] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:25 [Thread-16] INFO  RequestHandler:483 - Request Type accepted by server
2019-04-25 18:50:25 [Thread-16] INFO  RequestHandler:489 - Request received on server
2019-04-25 18:50:25 [Thread-15] INFO  ResidentDAO:159 - Residents succesfully find in BDD
2019-04-25 18:50:25 [Thread-15] INFO  RequestHandler:588 - Response send to client
2019-04-25 18:50:25 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:25 [Thread-15] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:25 [Thread-15] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:25 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:25 [Thread-16] INFO  EmployeeDAO:184 - Employee succesfully find in BDD
2019-04-25 18:50:25 [Thread-16] INFO  RequestHandler:494 - Response send to client
2019-04-25 18:50:25 [Thread-16] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:25 [Thread-16] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:25 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:25 [Thread-17] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:25 [Thread-17] INFO  RequestHandler:483 - Request Type accepted by server
2019-04-25 18:50:25 [Thread-17] INFO  RequestHandler:489 - Request received on server
2019-04-25 18:50:25 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:25 [Thread-18] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:25 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:25 [Thread-18] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:25 [Thread-19] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:25 [Thread-19] INFO  RequestHandler:483 - Request Type accepted by server
2019-04-25 18:50:25 [Thread-18] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:25 [Thread-19] INFO  RequestHandler:489 - Request received on server
2019-04-25 18:50:25 [Thread-18] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:25 [Thread-18] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:25 [Thread-17] INFO  EmployeeDAO:184 - Employee succesfully find in BDD
2019-04-25 18:50:25 [Thread-17] INFO  RequestHandler:494 - Response send to client
2019-04-25 18:50:25 [Thread-17] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:25 [Thread-17] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:25 [Thread-19] INFO  EmployeeDAO:184 - Employee succesfully find in BDD
2019-04-25 18:50:25 [Thread-19] INFO  RequestHandler:494 - Response send to client
2019-04-25 18:50:25 [Thread-19] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:25 [Thread-19] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:26 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:26 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:26 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:26 [Thread-20] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:26 [Thread-20] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:26 [Thread-20] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:26 [Thread-20] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:26 [Thread-20] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:27 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:27 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:27 [Thread-21] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:27 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:27 [Thread-21] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:27 [Thread-21] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:27 [Thread-21] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:27 [Thread-21] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:28 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:28 [Thread-22] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:28 [Thread-22] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:28 [Thread-22] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:28 [Thread-22] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:28 [Thread-22] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:28 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:28 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:29 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:29 [Thread-23] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:29 [Thread-23] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:29 [Thread-23] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:29 [Thread-23] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:29 [Thread-23] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:29 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:29 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:30 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:30 [Thread-24] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:30 [Thread-24] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:30 [Thread-24] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:30 [Thread-24] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:30 [Thread-24] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:30 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
