2019-03-19 11:58:23 [main] INFO  DataSourceTest:137 - All connection are closed 
2019-03-19 11:58:24 [main] INFO  DataSourceTest:224 - Connection 1 done
2019-03-19 11:58:24 [main] INFO  DataSourceTest:224 - Connection 2 done
2019-03-19 11:58:24 [main] INFO  DataSourceTest:224 - Connection 3 done
2019-03-19 11:58:24 [main] INFO  DataSourceTest:227 - Limit reached, no available connection java.sql.SQLException
2019-03-19 11:58:25 [main] INFO  DataSourceTest:194 - Connection 1 done
2019-03-19 11:58:25 [main] INFO  DataSourceTest:197 - Connection 2 done
2019-03-19 11:58:25 [main] INFO  DataSourceTest:200 - Connection 3 done
2019-03-19 11:58:25 [main] INFO  DataSourceTest:205 - Limit reached, no available connection java.sql.SQLException
2019-03-19 11:58:25 [main] INFO  DataSourceTest:120 - Return Connection succed 
2019-03-19 11:58:25 [main] INFO  DataSourceTest:153 - Number of Connection is 1
2019-03-19 11:58:26 [main] INFO  DataSourceTest:159 - Number of Connection increased to 3
2019-03-19 11:58:26 [main] INFO  DataSourceTest:85 - Update in SGBD succed 
2019-03-19 11:58:26 [main] INFO  DataSourceTest:67 - Data recovery in SGBD succed 
2019-03-19 11:58:27 [main] INFO  DataSourceTest:29 - Connection succed 
2019-03-19 11:58:27 [main] INFO  DataSourceTest:48 - Insertion in SGBD succed 
2019-03-19 11:58:27 [main] INFO  DataSourceTest:103 - Delete in SGBD succed 
2019-03-19 11:58:28 [main] INFO  DataSourceTest:176 - Connection 1 and connection 2 are different
